iter	Passed	Remaining
0	117	117400
1	119	59783
2	122	40639
3	124	31032
4	127	25289
5	131	21797
6	134	19078
7	137	16994
8	139	15379
9	142	14112
10	147	13217
11	149	12328
12	152	11574
13	154	10912
14	157	10350
15	161	9903
16	163	9467
17	166	9068
18	168	8714
19	171	8390
20	174	8144
21	177	7884
22	179	7631
23	181	7399
24	184	7193
25	186	6988
26	189	6830
27	192	6670
28	194	6498
29	195	6335
30	197	6183
31	199	6045
32	202	5920
33	204	5823
34	207	5709
35	208	5595
36	211	5492
37	213	5403
38	215	5313
39	217	5228
40	221	5170
41	222	5084
42	225	5012
43	227	4950
44	230	4881
45	233	4833
46	236	4785
47	238	4720
48	240	4658
49	242	4602
50	244	4549
51	246	4495
52	248	4448
53	251	4406
54	253	4359
55	255	4314
56	258	4272
57	260	4227
58	262	4188
59	266	4168
60	268	4128
61	270	4094
62	272	4056
63	274	4017
64	276	3980
65	278	3944
66	281	3925
67	284	3892
68	286	3863
69	288	3830
70	290	3799
71	292	3772
72	295	3751
73	298	3734
74	300	3704
75	302	3678
76	304	3653
77	306	3625
78	309	3607
79	312	3594
80	315	3577
81	317	3555
82	318	3522
83	321	3506
84	324	3490
85	328	3492
86	330	3471
87	332	3447
88	334	3428
89	337	3407
90	338	3385
91	342	3384
92	345	3373
93	348	3356
94	350	3338
95	352	3319
96	354	3304
97	357	3293
98	361	3294
99	364	3280
100	366	3265
101	369	3250
102	371	3232
103	374	3228
104	378	3223
105	380	3210
106	382	3194
107	386	3188
108	389	3184
109	392	3175
110	394	3160
111	397	3152
112	400	3141
113	403	3132
114	406	3129
115	408	3113
116	410	3098
117	412	3085
118	414	3071
119	418	3068
120	421	3063
121	423	3050
122	425	3036
123	428	3023
124	429	3009
125	433	3004
126	436	3002
127	439	2993
128	442	2986
129	445	2978
130	447	2966
131	450	2962
132	453	2956
133	456	2948
134	458	2935
135	460	2923
136	462	2912
137	465	2907
138	468	2901
139	470	2891
140	472	2880
141	473	2863
142	476	2852
143	479	2849
144	482	2843
145	484	2832
146	486	2820
147	488	2810
148	490	2799
149	492	2789
150	496	2790
151	499	2784
152	501	2774
153	503	2767
154	506	2759
155	508	2752
156	511	2748
157	514	2741
158	516	2731
159	518	2721
160	519	2709
161	522	2700
162	525	2699
163	528	2694
164	530	2686
165	532	2675
166	534	2665
167	536	2656
168	538	2648
169	541	2643
170	544	2637
171	546	2628
172	548	2620
173	550	2612
174	552	2603
175	557	2607
176	559	2600
177	561	2591
178	563	2583
179	565	2576
180	567	2567
181	571	2566
182	574	2564
183	576	2555
184	578	2547
185	580	2540
186	582	2532
187	586	2531
188	589	2530
189	591	2522
190	594	2516
191	596	2509
192	598	2502
193	602	2504
194	605	2499
195	607	2492
196	609	2483
197	611	2475
198	613	2468
199	616	2465
200	619	2460
201	621	2456
202	623	2447
203	625	2439
204	628	2435
205	631	2435
206	634	2432
207	637	2425
208	640	2425
209	643	2419
210	645	2414
211	648	2411
212	652	2411
213	654	2405
214	656	2397
215	660	2397
216	663	2394
217	667	2393
218	669	2387
219	672	2383
220	674	2377
221	678	2377
222	681	2375
223	686	2378
224	689	2373
225	693	2375
226	696	2371
227	700	2371
228	703	2369
229	709	2374
230	712	2373
231	716	2373
232	719	2369
233	723	2367
234	726	2364
235	729	2361
236	733	2359
237	735	2355
238	738	2351
239	741	2348
240	745	2347
241	747	2341
242	749	2335
243	752	2330
244	755	2328
245	758	2324
246	760	2318
247	762	2313
248	765	2307
249	771	2315
250	775	2314
251	778	2309
252	780	2304
253	783	2301
254	786	2299
255	789	2294
256	791	2288
257	795	2287
258	799	2286
259	803	2287
260	806	2283
261	808	2277
262	810	2271
263	813	2268
264	816	2265
265	820	2263
266	822	2258
267	824	2252
268	826	2246
